"Spanish","Picture","English","Audio","Ranking","tags","deck"
"fantasma (nm)","<img src=""paste-1931833340067841.jpg"" />","ghost, phantom","[sound:yandex-9504bffe-b905b326-8ed158ea-f0f72d4a-7ed482b3.mp3]","2449"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"funcionamiento (nm)","<img src=""paste-1933873449533441.jpg"" />","functioning, operation","[sound:yandex-725e977d-bca0e672-f1b97df5-ba897eb5-e4712ca1.mp3]","2258"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"ganado (nm)","<img src=""paste-1935913558999041.jpg"" />","livestock, cattle","[sound:yandex-b1b6ab78-b26e6212-2f0bb206-b06426ff-80ab543e.mp3]","2425"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"gas (nm)","<img src=""paste-1937953668464641.jpg"" />","gas","[sound:yandex-9b90e53c-f74341f6-87876e7d-17d9e6e4-0719671e.mp3]","2144"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"giro (nm)","<img src=""paste-186392990711809.jpg"" />","turn, draft, expression","[sound:yandex-4b10306c-69fea4de-f519851f-2df5e4ba-53fb4696.mp3]","2465"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"héroe (nm)","<img src=""paste-176407191748609.jpg"" />","hero","[sound:yandex-41263a7d-67566128-9c130719-37e91dd4-7dbb1e4e.mp3]","2186"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"hielo (nm)","<img src=""paste-1944078291828737.jpg"" />","ice","[sound:yandex-a2e898e1-392a90d5-5d21b13b-08d2c138-ce79b312.mp3]","2321"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"homenaje (nm)","<img src=""paste-179259050033153.jpg"" />","homage, tribute","[sound:yandex-8438c594-88ec5845-399bef02-cbc086b0-103eac36.mp3]","2396"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"horario (nm)","<img src=""paste-924663509155841.jpg"" />","schedule, timetable","[sound:yandex-8083aad5-476524e0-817c5031-e398b08d-a58c07fc.mp3]","2095"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"horizonte (nm)","<img src=""paste-1950215800094721.jpg"" />","horizon","[sound:yandex-780cfdd1-a863eb7f-f7f7a8c1-ee852f58-16730a65.mp3]","2140"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"horror (nm)","<img src=""paste-1952255909560321.jpg"" />","horror, atrocity","[sound:yandex-0425bc51-73d7904a-cc8a55d0-cdbd1df6-404d68f0.mp3]","2334"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"impacto (nm)","<img src=""paste-1954296019025921.jpg"" />","impact","[sound:yandex-4584c3ae-7f7e155f-ae8aefa2-81da4c88-f5641aa2.mp3]","2390"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"inconveniente (nm)","<img src=""paste-1956336128491521.jpg"" />","inconvenience, drawback","[sound:yandex-88af6c43-29925670-03d35911-590e2d53-e5e8764d.mp3]","2151"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"intercambio (nm)","<img src=""paste-1958380532924417.jpg"" />","exchange, interchange","[sound:yandex-d490b3aa-f877a1d1-ff3a20f2-c627c769-c8e0266c.mp3]","2490"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"junio (nm)","<img src=""paste-97122095464449.jpg"" />","June","[sound:google-73df0fd3-2642b4f8-36c956ff-9ddbb295-e2465455.mp3]","2349"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"laboratorio (nm)","<img src=""paste-1962460751855617.jpg"" />","laboratory","[sound:google-91d888fc-c33c457d-cbdc56fe-f80bbcb8-117543f0.mp3]","2264"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"líquido (nm)","<img src=""paste-1964500861321217.jpg"" />","liquid","[sound:google-a103c2ca-3f37d392-68f2691f-0c4c157c-ad1bf401.mp3]","2438"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"lunes (nm)","<img src=""paste-1966540970786817.jpg"" />","Monday","[sound:google-8a22e6cd-02981f41-5de30ba8-27e7bc86-4db239ba.mp3]","2187"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"mando (nm)","<img src=""paste-1968581080252417.jpg"" />","command, authority","[sound:google-1fc23cfd-29082c76-8fba82db-a57dd3b0-02ec438a.mp3]","2125"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"manejo (nm)","<img src=""paste-1970621189718017.jpg"" />","handling, management","[sound:google-21c2eb81-f0b9cead-365665bd-7ce14c97-d06285ff.mp3]","2385"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"mapa (nm)","<img src=""paste-1972661299183617.jpg"" />","map","[sound:google-9aad1fd7-0c81cafe-84903957-dc7d403b-66b46d2a.mp3]","2185"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"marzo (nm)","<img src=""paste-147871429033985.jpg"" />","March","[sound:google-7eb2af41-137bf4f7-7a822f4f-c51740ea-3b69402b.mp3]","2002"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"matiz (nm)","<img src=""paste-165205917040641.jpg"" />","shade, tint, nuance","[sound:google-a3740d85-d90bff04-7a69c596-7fcc21d0-d1e77011.mp3]","2291"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"máximo (nm)","<img src=""paste-1978773037645825.jpg"" />","maximum (nm)","[sound:google-b6728b61-d33d0df5-96e549ae-e046d66a-9d141a57.mp3]","2308"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"metal (nm)","<img src=""paste-1980813147111425.jpg"" />","metal","[sound:google-a266203e-ac300133-aeddbc04-4aaa77c6-fe6fbcbd.mp3]","2075"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"milagro (nm)","<img src=""paste-1982853256577025.jpg"" />","miracle","[sound:google-57ff0436-ddd3f707-111f807b-fdbea03c-891eca59.mp3]","2181"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"mínimo (nm)","<img src=""paste-1984893366042625.jpg"" />","minimum (nm)","[sound:google-4421c967-57833dea-5a49df98-4a920549-9ea01a1a.mp3]","2343"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"misterio (nm)","<img src=""paste-1986933475508225.jpg"" />","mystery","[sound:google-40a87be9-c5a0d232-10bf758d-7b96f087-fa67cff9.mp3]","2223"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"mito (nm)","<img src=""paste-112317689757697.jpg"" />","myth","[sound:google-37d27452-8bedf644-95f1353f-9dea3626-ae6de05b.mp3]","2467"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"muerto (nm)","<img src=""paste-1991022284374017.jpg"" />","dead person (nm)","[sound:google-a9465ff3-dc5f56c4-781ff8c9-6b35a28b-e982898e.mp3]","2032"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"noviembre (nm)","<img src=""paste-1993079573708801.jpg"" />","November","[sound:google-1ce5e923-8342008c-cf680504-fc8b3fc0-f368de9b.mp3]","2148"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"<div>núcleo&nbsp;(nm)</div>","<img src=""paste-18760417148929.jpg"" />","nucleus, core","[sound:google-597832e9-71c53722-13d92998-b2e6a05d-8aa012d7.mp3]","2238"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"objetivo (adj)","<img src=""paste-1997168382574593.jpg"" />","objective, impartial (adj)","[sound:google-817d5ae3-2e2b5515-0032f610-c61fa61e-891eeac1.mp3]","2027"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"odio (nm)","<img src=""paste-1999208492040193.jpg"" />","hatred","[sound:google-1791568d-0faef80b-f2597ea3-3c68b7f5-d2941746.mp3]","2177"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"orgullo (nm)","<img src=""paste-162813620256769.jpg"" />","pride","[sound:google-6dbcf851-f380972c-6ae5418c-37bd2ff5-0eaffaa2.mp3]","2006"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"oriente (nm)","<img src=""paste-2003310185807873.jpg"" />","East","[sound:google-cf8ad491-95827133-558a5102-be53ded9-e2928aea.mp3]","2413"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"palo (nm)","<img src=""paste-2005350295273473.jpg"" />","stick, pole","[sound:google-e2d20fd6-a0fa0f1c-e0a07432-53f8d99d-072c32b4.mp3]","2012"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"panorama (nm)","<img src=""paste-2007390404739073.jpg"" />","panorama, landscape","[sound:google-66915dbb-463a215e-6653d5a9-1fdaffe1-7f8ba268.mp3]","2500"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"pantalón (nm)","<img src=""paste-2009430514204673.jpg"" />","pants, trousers","[sound:google-c16079b4-ee75e1a7-e69298a7-3dc4d3cc-3f353f93.mp3]","2489"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"paquete (nm)","<img src=""paste-2011470623670273.jpg"" />","package, packet","[sound:google-5a2e535f-9d937e92-d30e6042-5fadd968-7612e560.mp3]","2166"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"partidario (nm)","<img src=""paste-2013510733135873.jpg"" />","supporter, partisan","[sound:google-cabc5936-ea727cf6-c4230701-3f3b790d-a8ac7b44.mp3]","2436"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"pasaje (nm)","<img src=""paste-2015550842601473.jpg"" />","fare, passage, lane","[sound:google-a7535b33-cbd760de-4724f7ec-e967a52c-286743ea.mp3]","2446"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"paseo (nm)","<img src=""paste-2017590952067073.jpg"" />","walk, ride","[sound:google-761b6f27-d6e92997-9d24ad31-768201a3-fd165895.mp3]","2209"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"perdón (nm)","<img src=""paste-578360296079361.jpg"" />","forgiveness, pardon","[sound:google-d3a20fe9-e8aad618-f748d01d-94d0b437-30b927e5.mp3]","2240"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"perfil (nm)","<img src=""paste-2021679760932865.jpg"" />","profile, outline","[sound:google-40ace6bf-0e8fc78a-92375cf7-c7398bb2-dd31fd81.mp3]","2108"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"pez (nm)","<img src=""paste-2023719870398465.jpg"" />","fish (alive)","[sound:google-12094f18-bf6eed3a-4827d6ec-84616ce2-c4d10f26.mp3]","2426"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"planeta (nm)","<img src=""paste-2025759979864065.jpg"" />","planet","[sound:google-9cc6e549-f33d17c5-e1ffce08-4dfa2e2c-db1ae55a.mp3]","2004"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"rayo (nm)","<img src=""paste-2027812974231553.jpg"" />","ray, beam, lightning","[sound:google-8e522f43-dcfe107c-719bef9b-5f38c67c-7086426b.mp3]","2197"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"rechazo (nm)","<img src=""paste-2029853083697153.jpg"" />","rejection, refusal","[sound:google-ccb19cb9-c453501e-4a77dab6-8261f411-111048b9.mp3]","2275"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"recorrido (nm)","<img src=""paste-2031893193162753.jpg"" />","journey, itinerary, route","[sound:google-b7fe2858-958d4b6d-a1edbacd-6eb961d1-0a995fdd.mp3]","2231"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"regalo (nm)","<img src=""paste-2033933302628353.jpg"" />","gift, present","[sound:google-bfdb18ea-1e557334-2f91723a-50d81d84-7c2ee3bc.mp3]","2067"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"registro (nm)","<img src=""paste-89275190214657.jpg"" />","register, record","[sound:google-fd1bd894-b15489e9-6665c46d-de705a8e-5eba2e9d.mp3]","2214"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"reino (nm)","<img src=""paste-2038000636657665.jpg"" />","kingdom, reign","[sound:google-88b68bf7-19d5ea1b-3471441b-329f725b-c820b251.mp3]","2255"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"relato (nm)","<img src=""paste-2040049336057857.jpg"" />","tale, story","[sound:google-81c4b8e4-dc2ae8cf-250d70b5-42998cbd-827a6c91.mp3]","2221"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"retrato (nm)","<img src=""paste-2042089445523457.jpg"" />","portrait, photograph","[sound:google-d24a7261-3a772c43-12e71afc-80bd46cf-e05dcf4f.mp3]","2492"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"rigor (nm)","<img src=""paste-157268817477633 (1).jpg"" />","harshness, rigor","[sound:google-0cf1741c-d5d66ae6-1be6319c-454ae66c-7edcd960.mp3]","2249"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"rincón (nm)","<img src=""paste-2046173959421953.jpg"" />","corner, nook","[sound:google-32256e05-b0ab39e7-1b535c5a-e50a5f1e-8eb04a6f.mp3]","2118"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"rostro (nm)","<img src=""paste-2048214068887553.jpg"" />","face, countenance","[sound:google-7531df26-f9e404b5-8b3a36bb-2a79e83f-52dc729d.mp3]","2040"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"rumbo (nm)","<img src=""paste-611152371384321.jpg"" />","direction, course, bearing","[sound:google-6ca738ed-b95c0a0d-4de5cd59-a088e28e-54f29c0d.mp3]","2414"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"sabor (nm)","<img src=""paste-2052302877753345.jpg"" />","taste, flavor, sensation","[sound:google-14a40e39-b0e879bf-7b96d6f6-36f9d8cd-ee0783d1.mp3]","2126"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"síntoma (nm)","<img src=""paste-2054342987218945.jpg"" />","symptom","[sound:google-3a0ef616-a65f179e-16cf8a0a-0a56bfff-c1a32f28.mp3]","2228"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"socio (nm)","<img src=""paste-2056391686619137.jpg"" />","member, partner","[sound:google-3c7fa672-888ae0c2-cf079307-5f1466dd-89a310b3.mp3]","2314"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"talento (nm)","<img src=""paste-54992761257985.jpg"" />","talent, skill","[sound:google-2577f7a5-cb323e6b-6e807677-014ec057-99751cbd.mp3]","2143"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"taller (nm)","<img src=""paste-2060476200517633.jpg"" />","workshop, shop","[sound:google-8bfcb7d1-edaf994e-9970c08d-5bca47fc-690a4541.mp3]","2373"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"templo (nm)","<img src=""paste-2062516309983233.jpg"" />","temple, church","[sound:google-c455c13a-17cf122e-e6f43c10-705c4e24-1f0e52f8.mp3]","2437"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"terror (nm)","<img src=""paste-2077750558982145.jpg"" />","terror, horror","[sound:google-2fff9db9-89028ea2-4adb2f6a-045ae6ab-505be4a6.mp3]","2189"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"testimonio (nm)","<img src=""paste-2088127199969281.jpg"" />","testimony, evidence","[sound:google-6762bd19-9e29c06e-70986d08-7ee825bd-6469d839.mp3]","2066"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"toro (nm)","<img src=""paste-2090888863940609.jpg"" />","bull","[sound:google-aab0f761-61ed3dd8-984795f8-9cc9171f-e3b4d884.mp3]","2331"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"tráfico (nm)","<img src=""paste-2092937563340801.jpg"" />","traffic, trade","[sound:google-eaa0495f-a9835e5b-5d1b09de-c9437dcf-bd2eda38.mp3]","2188"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"tratado (nm)","<img src=""paste-2094994852675585.jpg"" />","treaty, treatise","[sound:google-462f7203-d426bf98-c4789b7a-11ea4d34-2b0696d1.mp3]","2270"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"turno; en turno a (nm)","<img src=""paste-369697899937793.jpg"" />","turn; shift &nbsp;","[sound:google-fab53d4b-74611b3d-bb1107d4-00438a62-fc900617.mp3]","2252"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"universo (nm)","<img src=""paste-2099938360033281.jpg"" />","universe","[sound:google-0f758cd4-488f1875-3f6b2fd2-f84329f3-fd0bcf32.mp3]","2179"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"varón (nm)","<img src=""paste-2145198725398529.jpg"" />","male, man","[sound:google-9c700211-eb60bc15-62fc4c4c-80fc45db-8d68e292.mp3]","2088"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"vaso (nm)","<img src=""paste-2155227474034689.jpg"" />","drinking glass, vase","[sound:google-af57f539-bdff37c2-add44c5d-93fec987-584e1e01.mp3]","2107"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"vestido (nm)","<img src=""paste-2158006317875201.jpg"" />","dress (nm)","[sound:google-b9cb742c-ac3b5c8b-607313ff-5f17f713-74192514.mp3]","2220"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"vidrio (nm)","<img src=""paste-37104222470145.jpg"" />","glass, pane","[sound:google-b2f86f1e-3d7d5035-df7fd654-cb94d8e2-adcd3246.mp3]","2112"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"viernes (nm)","<img src=""paste-13159779794945.jpg"" />","Friday","[sound:google-ad26748c-ab837874-91b5899f-322d00ae-bb7121c3.mp3]","2483"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"voto (nm)","<img src=""paste-2171239112114177.jpg"" />","vote","[sound:google-bd890d3d-dc5ba8ac-999f9f7c-7cf2e9c8-c9984e76.mp3]","2201"," 2500 nm ","Essential Spanish Vocabulary Top 5000"
"pintor (nm/f)","<img src=""paste-2173292106481665.jpg"" />","painter","[sound:google-17717c1f-d1066cf5-327ee58a-40261aa1-11816523.mp3]","2218"," 2500 nm/f ","Essential Spanish Vocabulary Top 5000"
"vendedor (nm/f)","<img src=""paste-2175340805881857.jpg"" />","salesperson","[sound:google-c9db41be-b6bbdff7-255ddda6-a38ad573-e7e809b1.mp3]","2266"," 2500 nm/f ","Essential Spanish Vocabulary Top 5000"
"cura (nmf)","<img src=""paste-2178364462858241.jpg"" />","priest (m), cure (f)","[sound:yandex-8923f52d-402df029-56e29786-58f1f3ad-903c045d.mp3]","2103"," 2500 nmf ","Essential Spanish Vocabulary Top 5000"
"papá (nm)","<img src=""paste-2181113241927681.jpg"" />","dad","[sound:google-bf3aec16-b67e6679-48804e3d-2b30692d-5de80505.mp3]","2281"," 2500 nmf ","Essential Spanish Vocabulary Top 5000"
"catorce (num)","<img src=""paste-2183161941327873.jpg"" />","fourteen","[sound:yandex-dbdc1a75-6613057a-2e11523d-e13312a0-4f72a956.mp3]","2278"," 2500 num ","Essential Spanish Vocabulary Top 5000"
"cero (num)","<img src=""paste-2185210640728065.jpg"" />","zero, naught, nil","[sound:yandex-a42c258f-cddc8903-ef2833b6-7c7d761e-ffc9a359.mp3]","2284"," 2500 num ","Essential Spanish Vocabulary Top 5000"
"doscientos (num)","<img src=""paste-2187929355026433.jpg"" />","two hundred","[sound:yandex-98da2c2a-3b81d0fc-c2fdb148-f92ca07b-78d7dc06.mp3]","2344"," 2500 num ","Essential Spanish Vocabulary Top 5000"
"ochenta (num)","<img src=""paste-2189978054426625.jpg"" />","eighty","[sound:google-6247501b-2a53fa8f-af267e1f-6295d4d9-5d9edd0b.mp3]","2120"," 2500 num ","Essential Spanish Vocabulary Top 5000"
"trece (num)","<img src=""paste-2192026753826817.jpg"" />","thirteen","[sound:google-54f0225a-254e3a0e-b51ca35c-aed711c1-d1874de7.mp3]","2115"," 2500 num ","Essential Spanish Vocabulary Top 5000"
"veinticinco (num)","<img src=""paste-2194075453227009.jpg"" />","twenty-five","[sound:google-8891980b-190f036c-07d9d20d-5877d4de-11339094.mp3]","2311"," 2500 num ","Essential Spanish Vocabulary Top 5000"
"té (nm)","<img src=""paste-2196124152627201.jpg"" />","tea","[sound:google-26a51512-c46a1337-a5c31f6f-227bdf8c-7769c5b6.mp3]","2145"," 2500 pron ","Essential Spanish Vocabulary Top 5000"
"abarcar (v)","<img src=""paste-324570678558721.jpg"" />","to encompass, comprise","[sound:yandex-a2dd4e1b-c9f5779e-22223219-cac0294a-312b65d4.mp3]","2163"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"abordar (v)","<img src=""paste-2200208666525697.jpg"" />","to board, get in/on","[sound:yandex-390dfac6-9ff51a4f-e88505e3-ecbaf3f7-67cbef7d.mp3]","2273"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"absorber (v)","<img src=""paste-2202270250827777.jpg"" />","to absorb, soak up","[sound:yandex-31f6fe66-92d5b38f-43fe066d-4f98543b-5d69a614.mp3]","2056"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"acceder (v)","<img src=""paste-323784699543553.jpg"" />","to consent, agree, accede","[sound:yandex-deab5b15-9c0f154d-85de092c-30e75f60-463694c0.mp3]","2130"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"acomodar (v)","<img src=""paste-28587302322177.jpg"" />","to accommodate, be/make comfortable","[sound:yandex-88c2e38a-69989a29-0d82adda-af9023bf-d3370726.mp3]","2196"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"adaptar (v)","<img src=""paste-2208412054061057.jpg"" />","to adapt","[sound:yandex-8c588488-f8511c2b-7aea8f5b-199878a2-1d79e862.mp3]","2087"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"agarrar (v)","<img src=""paste-2210469343395841.jpg"" />","to grasp, catch","[sound:yandex-eff10cdb-7bda2dbc-0086c82f-b95c2179-7eb8b94e.mp3]","2074"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"amenazar (v)","<img src=""paste-2212518042796033.jpg"" />","to threaten","[sound:yandex-1e0ff40b-8b29b8d5-e489f4c6-a6ab6178-d3e50056.mp3]","2239"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"anticipar (v)","<img src=""paste-303538223710209.jpg"" />","to anticipate, advance","[sound:yandex-c94b8e42-1506bd78-d57e6dde-b85fd7a5-698e4c47.mp3]","2366"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"apagar (v)","<img src=""paste-2216602556694529.jpg"" />","to turn off, extinguish","[sound:yandex-a6a3acab-dd4ea475-5a64ad04-ba85ddac-05d2efd0.mp3]","2104"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"apretar (v)","<img src=""paste-299277616152577.jpg"" />","to squeeze, tighten, compress","[sound:yandex-83fb9e01-adc27dc4-6ca14647-69d928a3-67989459.mp3]","2404"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"aproximar (v)","<img src=""paste-296438642769921.jpg"" />","to come near, closer","[sound:yandex-a2fbd64c-264e6a46-79f9c6bd-68828bed-7c997018.mp3]","2070"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"asomar (v)","<img src=""paste-2222727180058625.jpg"" />","to appear, show, stick (out)","[sound:yandex-77c9c67c-1d6d7581-18ac2f24-d48bcc7d-00acd3fc.mp3]","2383"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"atar (v)","<img src=""paste-293591079452673.jpg"" />","to tie (up)","[sound:yandex-dc3e9707-45c0c1f8-d171e208-3da4ec4e-f4bfeb3d.mp3]","2153"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"avisar (v)","<img src=""paste-2226824578859009.jpg"" />","to notify [also notificar]","[sound:yandex-b49cb926-43013fc7-07bccd76-127db196-d8fd91c8.mp3]","2268"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"bailar (v)","<img src=""paste-2228873278259201.jpg"" />","to dance","[sound:yandex-85a39c4a-ac299e67-57df593c-99a4d0db-8dd95420.mp3]","2071"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"brindar (v)","<img src=""paste-2230921977659393.jpg"" />","to offer","[sound:yandex-8ae64da5-e9e6db66-e1806c5f-fef4f7ea-b6530cca.mp3]","2170"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"calificar (v)","<img src=""paste-283592395587585.jpg"" />","to grade, rate, qualify","[sound:yandex-fe511578-1d24600c-cbcb0294-f0ef1494-9dbfc95c.mp3]","2279"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"callar (v)","<img src=""paste-2235019376459777.jpg"" />","to be/make quiet","[sound:yandex-b3560e63-9514d0bd-e0098c8f-97111bd8-82ae29f1.mp3]","2245"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"caracterizar (v)","<img src=""paste-280749127237633.jpg"" />","to characterize, portray","[sound:yandex-93d4891b-a2a1c034-a1a1cb97-1dbefc0f-c9078835.mp3]","2476"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"castigar (v)","<img src=""paste-277901563920385.jpg"" />","to punish","[sound:yandex-29edd081-24a39f35-9d0e6705-69ffc1c1-5b3107a9.mp3]","2274"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"cesar (v)","<img src=""paste-273623776493569.jpg"" />","to cease, stop","[sound:yandex-3a88f5fc-33c77867-71301073-6310cb84-b6b4ad3b.mp3]","2227"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"colgar (v)","<img src=""paste-2243196994191361.jpg"" />","to hang up","[sound:yandex-fa8ec8d9-0dd31f77-72f4d2ba-a14feb39-b7673efa.mp3]","2049"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"combinar (v)","<img src=""paste-2245245693591553.jpg"" />","to combine","[sound:yandex-d5263ca7-84d571d5-5696074d-f2af838b-64888c0a.mp3]","2348"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"competir (v)","<img src=""paste-348347617509377.jpg"" />","to compete","[sound:yandex-f867fa6c-5f6742bd-044345a4-8c40347b-d8880fe3.mp3]","2486"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"comportar (v)","<img src=""paste-265072496607233.jpg"" />","to behave","[sound:yandex-e950e12f-3a7f9679-34bcfdb8-009a1b0c-bc04344f.mp3]","2294"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"comprometer (v)","<img src=""paste-263522013413377.jpg"" />","to compromise","[sound:yandex-088b92ec-ef507184-0c72b651-a064e8a3-fc286708.mp3]","2069"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"conquistar (v)","<img src=""paste-2253427606290433.jpg"" />","to conquer, win over","[sound:yandex-c2211b3c-1ed915f7-87c3ef47-3bbd9b95-eef05026.mp3]","2358"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"contratar (v)","<img src=""paste-2259951661613057.jpg"" />","to hire, contract","[sound:yandex-830ec68a-4791e3dd-46fbe714-da69b729-29fef280.mp3]","2418"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"copiar (v)","<img src=""paste-48430051229697.jpg"" />","to copy","[sound:yandex-b5d273f3-21c89af5-b8c9b884-53aa636f-199138c4.mp3]","2402"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"curar (v)","<img src=""paste-2264749140082689.jpg"" />","to cure","[sound:yandex-1929e638-52b622e8-d4c1d06e-97e0006c-57b95892.mp3]","2097"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"denunciar (v)","<img src=""paste-240586888052737.jpg"" />","to denounce","[sound:yandex-1748e101-f30c86ae-9a638013-ad4e594d-52139b77.mp3]","2332"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"desempeñar (v)","<img src=""paste-2269516553781249.jpg"" />","to carry out, fulfill","[sound:yandex-63ff1333-735147a7-a5b35b09-91186823-f3837b3f.mp3]","2100"," 2500 v ","Essential Spanish Vocabulary Top 5000"
"deshacer (v)","<img src=""paste-234887466450945.jpg"" />","to undo, destroy, take apart","[sound:yandex-2461ea0d-fcf43a9a-0ece7afb-d884523f-e701f046.mp3]","2324"," 2500 v ","Essential Spanish Vocabulary Top 5000"
